peak1_date,peak2_date,trough_date,peak1_price,peak2_price,trough_price,peak_gap_days,vol1,vol2,vol2_vol1_ratio,confirm_date,confirm_price,ret_5d,ret_20d,ret_60d,symbol,type
120.0,138.0,123.0,37.25033192802526,37.25142514918538,35.46348586716253,18.0,5265800.0,2949400.0,0.5601048273766569,158,35.3897705078125,-0.07239607226995681,-0.05208351298492975,-0.020864017826037418,A,double_top
230.0,249.0,239.0,39.1064582378828,39.26356960756899,36.8789251747813,19.0,7988900.0,1757000.0,0.2199301530874088,255,36.14563751220703,-0.035640960208169314,-0.0758973641323677,0.009579897844536278,A,double_top
396.0,413.0,410.0,44.90099772583951,44.81711946421131,42.95322713595395,17.0,1881400.0,1645100.0,0.8744020410332731,425,41.82558059692383,-0.0020053218050358756,0.05832680078344987,-0.00533393528557391,A,double_top
396.0,417.0,410.0,44.90099772583951,44.63072953718423,42.95322713595395,21.0,1881400.0,1333000.0,0.7085149356861912,425,41.82558059692383,-0.0020053218050358756,0.05832680078344987,-0.00533393528557391,A,double_top
1047.0,1070.0,1051.0,78.01303681886755,78.4497949335583,73.85285184869522,23.0,3204100.0,2180100.0,0.6804094753596954,1079,72.12030029296875,0.017101853473920015,-0.08126752362648193,-0.06263725871029491,A,double_top
1047.0,1074.0,1051.0,78.01303681886755,78.63146475996962,73.85285184869522,27.0,3204100.0,982900.0,0.30676320963765175,1079,72.12030029296875,0.017101853473920015,-0.08126752362648193,-0.06263725871029491,A,double_top
1534.0,1550.0,1545.0,122.19663430233724,122.12873690907354,116.81246432350945,16.0,1919700.0,1267300.0,0.6601552325884252,1551,115.7356414794922,0.005783501877623998,0.06571651836008385,0.15464588559485204,A,double_top
1804.0,1822.0,1811.0,134.60107816021963,135.8885996610661,123.77446927554386,18.0,3592100.0,1608600.0,0.44781604075610365,1832,122.4936752319336,0.03174116568593255,-0.09091637247344242,-0.016364370295495645,A,double_top
1804.0,1829.0,1811.0,134.60107816021963,133.91365252018957,123.77446927554386,25.0,3592100.0,1956200.0,0.5445839481083489,1832,122.4936752319336,0.03174116568593255,-0.09091637247344242,-0.016364370295495645,A,double_top
1909.0,1925.0,1913.0,132.3697316550378,133.17219485392994,125.2844441902588,16.0,2113200.0,969100.0,0.45859360212000755,1931,125.27465057373048,0.09264903122101265,-0.011024726615391556,0.1811673070138431,A,double_top
2001.0,2021.0,2017.0,157.1069735431487,155.71151067427536,140.4054268949824,20.0,1534200.0,809100.0,0.5273758310520141,2048,139.4923858642578,-0.032165095326694315,-0.058769671922503486,-0.08959481929818214,A,double_top
2001.0,2027.0,2017.0,157.1069735431487,156.6834779382473,140.4054268949824,26.0,1534200.0,974900.0,0.6354451831573459,2048,139.4923858642578,-0.032165095326694315,-0.058769671922503486,-0.08959481929818214,A,double_top
2410.0,2430.0,2412.0,143.11901215859865,142.34498174477,132.04421232447203,20.0,2896500.0,1577400.0,0.5445882962195754,2469,129.89877319335938,-0.002907654909887758,0.010482734382029735,,A,double_top
